Industry ,Job Vacancies,Industry %
Accommodation and food services,31700,9.5
Administrative and support services,25400,7.6
Arts and recreation services,5200,1.6
Construction,25100,7.6
Education and training,12100,3.6
"Electricity, gas, water and waste services",4300,1.3
Financial and insurance services,11100,3.3
Health care and social assistance,60900,18.3
Information media and telecommunications,3400,1
Manufacturing,14700,4.4
Mining,8400,2.5
Other services,14100,4.2
"Professional, scientific and technical services",38700,11.7
Public administration and safety,21000,6.3
"Rental, hiring and real estate services",5500,1.7
Retail trade,28700,8.6
"Transport, postal and warehousing",9900,3
Wholesale trade,11900,3.6
