Industry ,Value,Date,,
Accommodation and food services,42.5,2023-05-01,,
Accommodation and food services,41.4,2023-08-01,,
Accommodation and food services,38.8,2023-11-01,,
Accommodation and food services,35.1,2024-02-01,,
Accommodation and food services,38.3,2024-05-01,,
Accommodation and food services,31.7,2024-08-01,,
Administrative and support services,37.5,2023-05-01,,
Administrative and support services,33.2,2023-08-01,,
Administrative and support services,31.5,2023-11-01,,
Administrative and support services,30.0,2024-02-01,,
Administrative and support services,26.0,2024-05-01,,
Administrative and support services,25.4,2024-08-01,,
Arts and recreation services,6.5,2023-05-01,,
Arts and recreation services,7.3,2023-08-01,,
Arts and recreation services,7.3,2023-11-01,,
Arts and recreation services,4.9,2024-02-01,,
Arts and recreation services,4.8,2024-05-01,,
Arts and recreation services,5.2,2024-08-01,,
Construction,33.1,2023-05-01,,
Construction,28.8,2023-08-01,,
Construction,28.5,2023-11-01,,
Construction,27.9,2024-02-01,,
Construction,24.9,2024-05-01,,
Construction,25.1,2024-08-01,,
Education and training,15.9,2023-05-01,,
Education and training,15.5,2023-08-01,,
Education and training,13.6,2023-11-01,,
Education and training,15.6,2024-02-01,,
Education and training,12.3,2024-05-01,,
Education and training,12.1,2024-08-01,,
"Electricity, gas, water and waste services",4.9,2023-05-01,,
"Electricity, gas, water and waste services",4.9,2023-08-01,,
"Electricity, gas, water and waste services",4.8,2023-11-01,,
"Electricity, gas, water and waste services",4.6,2024-02-01,,
"Electricity, gas, water and waste services",4.5,2024-05-01,,
"Electricity, gas, water and waste services",4.3,2024-08-01,,
Financial and insurance services,13.4,2023-05-01,,
Financial and insurance services,11.3,2023-08-01,,
Financial and insurance services,10.0,2023-11-01,,
Financial and insurance services,11.7,2024-02-01,,
Financial and insurance services,10.9,2024-05-01,,
Financial and insurance services,11.1,2024-08-01,,
Health care and social assistance,72.9,2023-05-01,,
Health care and social assistance,68.1,2023-08-01,,
Health care and social assistance,67.5,2023-11-01,,
Health care and social assistance,65.0,2024-02-01,,
Health care and social assistance,61.8,2024-05-01,,
Health care and social assistance,60.9,2024-08-01,,
Information media and telecommunications,3.8,2023-05-01,,
Information media and telecommunications,3.5,2023-08-01,,
Information media and telecommunications,3.4,2023-11-01,,
Information media and telecommunications,3.6,2024-02-01,,
Information media and telecommunications,3.5,2024-05-01,,
Information media and telecommunications,3.4,2024-08-01,,
Manufacturing,22.6,2023-05-01,,
Manufacturing,25.1,2023-08-01,,
Manufacturing,23.4,2023-11-01,,
Manufacturing,23.3,2024-02-01,,
Manufacturing,16.4,2024-05-01,,
Manufacturing,14.7,2024-08-01,,
Mining,11.7,2023-05-01,,
Mining,11.4,2023-08-01,,
Mining,11.5,2023-11-01,,
Mining,10.7,2024-02-01,,
Mining,8.5,2024-05-01,,
Mining,8.4,2024-08-01,,
Other services,16.1,2023-05-01,,
Other services,14.2,2023-08-01,,
Other services,13.5,2023-11-01,,
Other services,12.6,2024-02-01,,
Other services,13.6,2024-05-01,,
Other services,14.1,2024-08-01,,
"Professional, scientific and technical services",44.7,2023-05-01,,
"Professional, scientific and technical services",42.5,2023-08-01,,
"Professional, scientific and technical services",41.4,2023-11-01,,
"Professional, scientific and technical services",34.6,2024-02-01,,
"Professional, scientific and technical services",40.1,2024-05-01,,
"Professional, scientific and technical services",38.7,2024-08-01,,
Public administration and safety,22.9,2023-05-01,,
Public administration and safety,23.6,2023-08-01,,
Public administration and safety,23.8,2023-11-01,,
Public administration and safety,19.0,2024-02-01,,
Public administration and safety,21.9,2024-05-01,,
Public administration and safety,21.0,2024-08-01,,
"Rental, hiring and real estate services",5.5,2023-05-01,,
"Rental, hiring and real estate services",5.5,2023-08-01,,
"Rental, hiring and real estate services",4.8,2023-11-01,,
"Rental, hiring and real estate services",5.8,2024-02-01,,
"Rental, hiring and real estate services",5.7,2024-05-01,,
"Rental, hiring and real estate services",5.5,2024-08-01,,
Retail trade,32.2,2023-05-01,,
Retail trade,38.5,2023-08-01,,
Retail trade,37.2,2023-11-01,,
Retail trade,32.1,2024-02-01,,
Retail trade,28.4,2024-05-01,,
Retail trade,28.7,2024-08-01,,
"Transport, postal and warehousing",13.4,2023-05-01,,
"Transport, postal and warehousing",12.1,2023-08-01,,
"Transport, postal and warehousing",11.5,2023-11-01,,
"Transport, postal and warehousing",10.1,2024-02-01,,
"Transport, postal and warehousing",8.7,2024-05-01,,
"Transport, postal and warehousing",9.9,2024-08-01,,
Wholesale trade,15.3,2023-05-01,,
Wholesale trade,15.5,2023-08-01,,
Wholesale trade,14.0,2023-11-01,,
Wholesale trade,16.2,2024-02-01,,
Wholesale trade,11.2,2024-05-01,,
Wholesale trade,11.9,2024-08-01,,
