Date,Job vacancies
1980-08-01,37500
1980-11-01,38700
1981-02-01,37400
1981-05-01,44000
1981-08-01,44500
1981-11-01,41700
1982-02-01,37300
1982-05-01,30300
1982-08-01,26800
1982-11-01,30300
1983-02-01,29700
1983-05-01,32400
1983-08-01,33600
1983-11-01,36300
1984-02-01,44600
1984-05-01,40300
1984-08-01,48500
1984-11-01,49800
1985-02-01,60400
1985-05-01,68600
1985-08-01,67200
1985-11-01,66200
1986-02-01,64800
1986-05-01,66100
1986-08-01,61100
1986-11-01,66300
1987-02-01,69500
1987-05-01,66900
1987-08-01,70100
1987-11-01,66900
1988-02-01,70200
1988-05-01,74400
1988-08-01,80800
1988-11-01,85100
1989-02-01,84700
1989-05-01,93700
1989-08-01,76600
1989-11-01,79200
1990-02-01,71900
1990-05-01,64000
1990-08-01,56700
1990-11-01,41600
1991-02-01,33800
1991-05-01,31600
1991-08-01,29800
1991-11-01,30900
1992-02-01,33300
1992-05-01,31900
1992-08-01,33000
1992-11-01,36900
1993-02-01,37000
1993-05-01,42000
1993-08-01,46200
1993-11-01,48500
1994-02-01,57600
1994-05-01,69500
1994-08-01,82200
1994-11-01,85600
1995-02-01,72700
1995-05-01,77300
1995-08-01,74600
1995-11-01,72500
1996-02-01,81000
1996-05-01,76700
1996-08-01,77500
1996-11-01,82500
1997-02-01,81300
1997-05-01,82800
1997-08-01,84900
1997-11-01,90400
1998-02-01,98300
1998-05-01,104000
1998-08-01,89800
1998-11-01,102000
1999-02-01,87200
1999-05-01,100200
1999-08-01,106900
1999-11-01,109600
2000-02-01,118100
2000-05-01,115900
2000-08-01,114400
2000-11-01,114800
2001-02-01,99700
2001-05-01,94000
2001-08-01,90200
2001-11-01,88500
2002-02-01,90500
2002-05-01,96200
2002-08-01,103000
2002-11-01,97600
2003-02-01,109700
2003-05-01,104600
2003-08-01,104100
2003-11-01,107500
2004-02-01,103800
2004-05-01,127100
2004-08-01,124600
2004-11-01,139200
2005-02-01,146200
2005-05-01,140900
2005-08-01,139000
2005-11-01,134100
2006-02-01,144300
2006-05-01,154100
2006-08-01,154900
2006-11-01,162100
2007-02-01,160800
2007-05-01,168600
2007-08-01,173300
2007-11-01,183300
2008-02-01,178200
2008-05-01,184500
2008-08-01,0
2008-11-01,0
2009-02-01,0
2009-05-01,0
2009-08-01,0
2009-11-01,148900
2010-02-01,168400
2010-05-01,170300
2010-08-01,178600
2010-11-01,191100
2011-02-01,189400
2011-05-01,187300
2011-08-01,183400
2011-11-01,179300
2012-02-01,181800
2012-05-01,178100
2012-08-01,175300
2012-11-01,164800
2013-02-01,149800
2013-05-01,143500
2013-08-01,140600
2013-11-01,138900
2014-02-01,143200
2014-05-01,147400
2014-08-01,146600
2014-11-01,149700
2015-02-01,151900
2015-05-01,157800
2015-08-01,161500
2015-11-01,167400
2016-02-01,172200
2016-05-01,171300
2016-08-01,177100
2016-11-01,182400
2017-02-01,185100
2017-05-01,185800
2017-08-01,200100
2017-11-01,205100
2018-02-01,213100
2018-05-01,223500
2018-08-01,227100
2018-11-01,232400
2019-02-01,232500
2019-05-01,227200
2019-08-01,221800
2019-11-01,230500
2020-02-01,227400
2020-05-01,128400
2020-08-01,203400
2020-11-01,259900
2021-02-01,287900
2021-05-01,366700
2021-08-01,329300
2021-11-01,406200
2022-02-01,423100
2022-05-01,473100
2022-08-01,466500
2022-11-01,450900
2023-02-01,439300
2023-05-01,423700
2023-08-01,398000
2023-11-01,384800
2024-02-01,360700
2024-05-01,348000
2024-08-01,329900
,
,
,
,
